:START_ID(Executive),jobs,:END_ID(Stock),:TYPE
073675b9c0e6b9c01ef82d3bed3dcd01,独立董事,600976,employ_of
879a42f63efe6ccd075787dc4736da0a,董事长/董事,000890,employ_of
a9b3c804a4f151fac276d02b5f199208,董事,000890,employ_of
b2821f5d4c752b865a98370a70b923be,董事,000890,employ_of
10ddff7e5aec90aa7f031344cf25dd7e,董事,000890,employ_of
cbadd3777959a6525cc1fd433335f1c1,董事,000890,employ_of
c9275b8ee4bfacfd26a005dc92b90475,董事,000890,employ_of
62ebd5f4792d227f09e24d36e56e5a48,董事,000890,employ_of
6f56058903cc526a1500b05cd0dc60b8,董事,000890,employ_of
c8598e256574771a80c668323fcb9cff,独立董事,000890,employ_of
7748f247be9186fb54f24bcda218c17c,独立董事,000890,employ_of
d16714d8d3bac859b8eb33ec70d14001,独立董事,000890,employ_of
19bebd49d3ca07e56e84f9dbca7b0d3e,独立董事,000890,employ_of
5ee799f3a8c67ee3a6f79445310648e5,董事长/执行董事,600999,employ_of
95427184a88c4a8f8c06b3086bef4218,执行董事,600999,employ_of
9b2366fbe720c5a445067eb99f207444,执行董事,600999,employ_of
63eb0eabd83c9532b8968241f9863024,非执行董事,600999,employ_of
2e39b1d9d0282095d630b288146e6a18,非执行董事,600999,employ_of
0c3d0547ac5aeced649b2769e102446e,非执行董事,600999,employ_of
8ada45fb15281b7c0f3541b11ad30b05,非执行董事,600999,employ_of
f20d6c7954a7963270856838b4801352,非执行董事,600999,employ_of
fdc40350e8a60a0cd9d7036314ac900e,非执行董事,600999,employ_of
6dc97a31ebeebb8b50fca9287f78efc0,非执行董事,600999,employ_of
07d1b9f0e1195440c5a055773d6b6e3e,独立非执行董事,600999,employ_of
e68231403d64b02d454a462f9b8cef21,独立非执行董事,600999,employ_of
180ef4234ded339e85b563e316330fae,独立非执行董事,600999,employ_of
fc1fe249bcc034c8d2d0c56380e019bb,独立非执行董事,600999,employ_of
d029f6c176ef92328f6c8db97ac027c6,独立非执行董事,600999,employ_of
2a9f604b4d1ec82e21dfdd800c64912f,董事长/董事,600833,employ_of
ad2510ef429255d3bd68972fc06f7c92,副董事长/董事,600833,employ_of
3ff3aae1126a3ff558f0cce472da1b0e,董事,600833,employ_of
01cffc5104bd1d9d461ba7472ccad61a,董事,600833,employ_of
6887d004a5ea4ffa836ff288abea7091,董事,600833,employ_of
83564d9c0ddf7a08bc89c0895dbbfe65,独立董事,600833,employ_of
d736bc209e04fe27a4e9441083870f4d,独立董事,600833,employ_of
43d119ed45adf332cf8e673432853cd2,独立董事,600833,employ_of
010265cd038a5030a3dd050060a1cc75,董事长/董事,600560,employ_of
1cc1b11db25a550d4bf3da41a50d167e,董事,600560,employ_of
c0ecaaac2fba10464506c649eb433a5e,董事,600560,employ_of
75d19c86204071d1b9955b314d0bc1c0,董事,600560,employ_of
77c9a75a8007e2f795c09fef25c44e05,董事,600560,employ_of
828156221213b8b27efa96bb78031da8,董事,600560,employ_of
5da557b6bf202885466a4f17ed812825,独立董事,600560,employ_of
3f283ad2ec5f851204cb4f5ea921a348,独立董事,600560,employ_of
993c58e1ab9005b7375bd19d135e45ff,独立董事,600560,employ_of
f378d8b83ababe8f1ac506d8566e8ea8,董事长/董事,002454,employ_of
7bf19f2c11b16a656b42d1ce2565dff2,副董事长/董事,002454,employ_of
d39717be4e80eb5b83e5a3f9fb2c0bf4,董事,002454,employ_of
2c4450692e24f16ca96372d36b962325,董事,002454,employ_of
afb419ab8b740003f45f3c91121a3a01,董事,002454,employ_of
8163d2e47d5adba989fe6489431fe877,董事,002454,employ_of
e4b194838f6fcf4dcea095218163272f,独立董事,002454,employ_of
380b7957c860258ea001e1ec61cfd16f,独立董事,002454,employ_of
55c776495d50ae4f9e2d5f32a3433b90,独立董事,002454,employ_of
222febd0fe6287d21a661a8c85a379d3,董事长/董事,600130,employ_of
a9fd6ce445463cb7e7b87c6575dcdd31,董事,600130,employ_of
48235effd7b7a8128637bf2521e219b3,董事,600130,employ_of
d042ee9f6a00eb43ddc867f2ccb8cc46,董事,600130,employ_of
3ed5a2c743c05258715bfa6c2a29826b,独立董事,600130,employ_of
9003a8d58b8668af5a55a596395f2007,独立董事,600130,employ_of
fb121dff571e644a2290955d8983a0de,独立董事,600130,employ_of
b0c5023e3f1b46151845c0ac0076db73,董事长/非执行董事,000039,employ_of
484c1bf2c260bb86a3987e61dab4472a,副董事长/非执行董事,000039,employ_of
119f64b326ce051dbe22e75b9266fe42,执行董事,000039,employ_of
107906bbeea27ce45ec633d02889343f,非执行董事,000039,employ_of
8bf6215efab3eed6878861dcaddc8a67,非执行董事,000039,employ_of
ee4d8b5d58f088ac6a7dc0e4c49fe5e6,独立非执行董事,000039,employ_of
1ce84473559b29580013f914745726c1,独立非执行董事,000039,employ_of
3666285deaf4bc5a5f98bdb88f4162e1,独立非执行董事,000039,employ_of
1bae7bba7508dce0994e6367d105a5ad,董事长/董事,002004,employ_of
f332c967c1f01252cb771fb3b771da94,董事,002004,employ_of
78aa12d964977f262fbbb03bd6475194,董事,002004,employ_of
86db65bcf9effd131fcd073852930315,董事,002004,employ_of
fd86eb4da48f29de24691aa3765526ac,董事,002004,employ_of
4b38d21f36d2f6db2bcdd1bb186a9aca,独立董事,002004,employ_of
3b1cb77379997e44b4971cad726f75a9,独立董事,002004,employ_of
bacd2cb8b470aa5b26184a8ce285a0a5,独立董事,002004,employ_of
258e1335ca1858ac28c34bad95ae0dab,董事长/董事,000717,employ_of
d93f56849298e6d8d3f630fdc09a4128,董事,000717,employ_of
fb831926814a075f429ac83ea1e9c39b,董事,000717,employ_of
0f5db20642a8fd101bc8041cd8c8d27a,董事,000717,employ_of
e7dd05f1127d426a2921030013bca8c6,董事,000717,employ_of
a70038f65bcbbf9ed228d74e1bb22528,董事,000717,employ_of
c7531104c6d531698f3318d749d869ca,董事,000717,employ_of
8cd2262578036d50047fbf660b19141b,独立董事,000717,employ_of
9eb3c6e66eb2613b4b93cbf1642f787c,独立董事,000717,employ_of
de57d816411c95a6401dd5c1a6b9118e,独立董事,000717,employ_of
34c6091552a8c2a3c6ebb40d0f540d30,独立董事,000717,employ_of
c3c7d79ea0a526362f9a6ed886f98506,董事长/董事,300312,employ_of
8d2aaed07064ee612199fcd34d0107d2,副董事长/董事,300312,employ_of
e9f5216d608571c3fbea1078d2b55a09,董事,300312,employ_of
8516e1ddfa66f51b4d1f02cdebdfc26b,董事,300312,employ_of
ea4120a429ef0667749535f4e7e9de05,独立董事,300312,employ_of
854aebdb6a3f88baab4bb08b1634d496,独立董事,300312,employ_of
7b31b3fa23ed08ac25a1b54775223b61,独立董事,300312,employ_of
97fcb4051f5f78ef0f9d26d0b5807de8,董事长/董事,900933,employ_of
10409327986719a9c297ed777384bf18,董事,900933,employ_of
7b56f67e4271d4890bbeb499e3a4d17a,董事,900933,employ_of
f7529261b501d92232ec7416fdaadbb6,董事,900933,employ_of
cf716e6dc7f16faf6a634c392c20438f,董事,900933,employ_of
4f38639a7087788cc6f848580489f171,董事,900933,employ_of
397851afd65a634049b3fcad367a4734,独立董事,900933,employ_of
48fbd73e768268b76da261d9adf29459,独立董事,900933,employ_of
09370ba64818dd701580e3e46f3e3030,独立董事,900933,employ_of
d9f468483d54c358154a7b1f898f8e27,董事长/董事,002680,employ_of
8dc3651f3d8aeac5bc1bdad3ca5c9b03,副董事长/董事,002680,employ_of
c0ff752d21d803c74b31c1a84db44aa4,董事,002680,employ_of
6d411622f0bc1e7cc6f6834633814eb0,董事,002680,employ_of
b9811d647fee2527d9fa614bbbb371c1,董事,002680,employ_of
36c1aa20be67a08ea1f85e5b3d698484,董事,002680,employ_of
627de4112ef7909c3e4f3f5a589b599d,独立董事,002680,employ_of
03d9da6828d71be406de37c6ad95c2c0,独立董事,002680,employ_of
1d148fe304082c8eb16a83b430deac7d,独立董事,002680,employ_of
5d6deecfeefb0cbc129e5bc1bc0baf6f,董事长/董事,603198,employ_of
99914ff238e41ac240495c5eb7431009,董事,603198,employ_of
36b92680b971966da9313caad7f86459,董事,603198,employ_of
4e7128f0ff6dd04b0224facd27fb6dd9,董事,603198,employ_of
21da2acc3623be6eaf6012ae7f2d171a,董事,603198,employ_of
ff42dec3e5845ad5f7c10617804638d6,董事,603198,employ_of
0f966531822824f9f6b12de12f146170,独立董事,603198,employ_of
e965e8c45125f71b85446a33421e4d01,独立董事,603198,employ_of
be5dc05128357c709b4dbeccf82a895e,独立董事,603198,employ_of
5b226b01e7ba6c98aaa5ffcad5b74753,董事长/董事,002395,employ_of
8267591a0d8dadac98522085dc97d87a,董事,002395,employ_of
b7b15f4feaced26e8aad0c93fa10a68b,董事,002395,employ_of
8408c112ef854ea37c96a3ac448d3cf2,董事,002395,employ_of
d1c12a39a07b4ae9a739a191982bfad3,董事,002395,employ_of
c84671bdfa422f336c114e58424f5186,董事,002395,employ_of
971ce4e5c82b19308b1d192e2ff6c7a2,独立董事,002395,employ_of
9c28454f06e748d84ed5cf52b4f2c72e,独立董事,002395,employ_of
45a6d21d806bd75cd2140422bc8133f0,独立董事,002395,employ_of
271cf388278d6ee4a42f64cb839a96ef,董事长/董事,000652,employ_of
17db3b7ec449dee0b2c30b3df8ca10ff,董事,000652,employ_of
ba9253d3d2517ce0ee22759c420b7a60,董事,000652,employ_of
e6d3f35471ca98f3c7af5a40cf8e2d69,董事,000652,employ_of
60de670e51296795dfb2ce7a590b1760,董事,000652,employ_of
9f962e2697d2c53f8fe5a0d2c85be883,董事,000652,employ_of
33460fea5a2c89c79ecf6f041ef962a7,独立董事,000652,employ_of
16c99720408a315cf231758b62263e92,独立董事,000652,employ_of
9ca38f4f5dade8fc11cfdeaa346bf2fb,独立董事,000652,employ_of
939acab8a819fe6364423fe6cb00c464,董事长/董事,300257,employ_of
6b16a53966a953da281716315f76179e,董事,300257,employ_of
369b8d6c596c76d4c2eda9ff6c0c00d5,董事,300257,employ_of
ff6bcc99d5c995759415c1cf85f5dd7b,董事,300257,employ_of
709c45efa45829b1f49139c76a198bb3,独立董事,300257,employ_of
ecca0f0975c4cad755336cf24179d830,独立董事,300257,employ_of
f97c02f3bc3af747803b48fe56c42fff,独立董事,300257,employ_of
316365ac9313e12772df620848d41613,董事长/执行董事,601633,employ_of
4a01a3c9e3aae479a7e0270cda07420b,副董事长/执行董事,601633,employ_of
872aded5b0ebe4aca849abbe651eb7e8,执行董事,601633,employ_of
b3d34bdf1ef4cfbf5f068b3e9ba3c034,非执行董事,601633,employ_of
e4672c0ede14fe173f9687d3d6c4c743,独立非执行董事,601633,employ_of
a95088c88394fce27e351c348cf53c08,独立非执行董事,601633,employ_of
fde4c4edfb7d0e81c732b7d9d9b9d8af,独立非执行董事,601633,employ_of
80aa67d931ec97cb63d1bdf302c613aa,董事长/董事,000828,employ_of
0c3099af067963eb29c7a82ef731a4d7,董事,000828,employ_of
d995858eca1141bc66370c66cb9ebcec,董事,000828,employ_of
cbaa5683cd92dda379d5c722a22db7f8,独立董事,000828,employ_of
1bce4072c4c79a1f40b85bc85350048c,独立董事,000828,employ_of
2434d7563b78b6d9e6473df830094c31,独立董事,000828,employ_of
